station_id,name,lat,lon,address,last_check,cycle_months,panorama,note
768,곡성,35.28886,127.28531,전라남도 곡성군 곡성읍 삼인동길 97 31사단95연대3대대9중대(곡성군부대),,,,
769,염산,35.19932,126.38336,전라남도 영광군 염산면 옥실리 3-20,,,,
770,다도,34.92862,126.82001,전라남도 나주시 다도면 암정리 1105,,,,
771,안좌,34.72693,126.14463,전라남도 신안군 안좌면 향목리 398-3,,,,
772,수유,34.53208,126.23964,전라남도 진도군 진도읍 수유리 1421,,,,
773,학산,34.70850,126.63593,전라남도 영암군 학산면 상월리 산 86(임),,,,
774,전남도청,34.81747,126.46618,전라남도 무안군 삼향읍 남악리 1000(오룡길 1) 전남도청,,,,
775,월야,35.17770,126.63538,전라남도 함평군 월야면 월야리 344-13,,,,
776,현산,34.45996,126.55710,"전라남도 해남군 현산면 일평리 529-7, 529-6",,,,
777,관산,34.55633,126.93462,전라남도 장흥군 관산읍 옥당리 226-2,,,,
778,유치,34.79594,126.82180,전라남도 장흥군 유치면 관동리 62,,,,
783,과기원,35.23027,126.84077,광주광역시 북구 오룡동 1 광주과학기술원 창업보육생산동 앞,,,,
784,시종,34.87718,126.61258,전라남도 영암군 시종면 만수리 680,,,,
785,북일,34.46383,126.67630,전라남도 해남군 북일면 신월리 174-4,,,,
786,돌산,34.63808,127.77401,전라남도 여수시 돌산읍 서덕리 284-5,,,,
787,도화,34.50672,127.31716,전라남도 고흥군 도화면 당오리 1147-15 도화베이스볼파크,,,,
788,풍암,35.13159,126.88132,광주광역시 서구 풍암동 20 풍암생활체육공원 내,,,,
789,압해도,34.87643,126.29290,전라남도 신안군 압해면 신용리 602-5 나무병원,,,,
790,나로도,34.53258,127.46735,전라남도 고흥군 동일면 덕흥양쪽길 200,,,,
791,피아골,35.26621,127.58376,전라남도 구례군 토지면 내동리 1155-1 서울대 남부학술림,,,,
794,황전,35.10066,127.42739,전라남도 순천시 황전면 괴목리 60-1 황전면사무소,,,,
795,옥과,35.27532,127.13899,전라남도 곡성군 옥과면 리문리 161,,,,
796,초도,34.23775,127.24476,전라남도 여수시 삼산면 초도로 638,,,,
797,하태도,34.39498,125.29953,전라남도 신안군 흑산면 태도리 산309-1 내연발전소 뒤,,,,
798,홍도,34.68551,125.19236,전라남도 신안군 흑산면 홍도1길 53(홍도분교),,,,
799,낙월도,35.20198,126.13494,전라남도 영광군 낙월면 낙월길 88(상낙월리 산 450-1),,,,
856,광양백운산,35.10180,127.59815,전라남도 광양시 옥룡면 동곡리 1113 서울대 남부학술림,,,,
857,완도읍,34.29995,126.71737,전라남도 완도군 완도읍 중도리 954-1,,,,
858,지산,34.42956,126.17006,전라남도 진도군 지산면 인지리 77-1,,,,
882,상무대,35.25179,126.60423,전라남도 장성군 삼서면 학성리 사서함 75,,,,
964,마량,34.45902,126.81574,전라남도 강진군 마량면 마량리 1132-11,,,,
973,화순능주,35.02330,126.94961,전라남도 화순군 능주면 만수리 794-4,,,,
